var_WTI,skewness_WTI,classLabel,id
-2.7914,1.7734,0,p103
-2.7143,11.4535,0,p242
-2.6479,10.1374,0,p114
-2.6479,10.1374,0,p237
-2.4604,12.7302,0,p72
-2.4473,12.6247,0,p250
-2.3983,12.606,0,p26
-2.0759,10.8223,0,p194
-1.9667,11.8052,0,p91
-1.8411,10.8306,0,p2
-1.8348,11.0334,0,p183
-1.4275,11.8797,0,p116
-1.4217,11.6542,0,p53
-1.3885,12.5026,0,p39
-1.3612,10.694,0,p166
-1.1391,1.8127,0,p122
-0.95923,0.091039,0,p239
-0.7056,8.7241,0,p246
-0.53966,7.3273,0,p197
-0.45062,-1.3678,0,p231
-0.38388,-1.0471,0,p159
-0.33729000000000003,-0.64976,0,p71
-0.2951,9.0489,0,p19
-0.27802,8.1881,0,p98
-0.278,8.1881,0,p127
-0.278,8.1881,0,p167
-0.2361,9.3221,0,p120
-0.2062,9.2207,0,p125
-0.16682,5.8974,0,p185
-0.12624000000000002,10.3216,0,p5
-0.11996,6.8741,0,p171
-0.10648,-0.76771,0,p47
-0.048008,-1.6037,0,p7
-0.048008,-0.5607800000000001,0,p177
-0.023579,7.1742,0,p257
0.017269999999999997,8.693,0,p269
0.040498,8.5234,0,p236
0.045304,6.7334,0,p43
0.21084,9.4359,0,p160
0.25035,9.3262,0,p187
0.29961,7.1328,0,p186
0.32444,10.067,0,p86
0.33111,4.5731,0,p34
0.33565,6.8369,0,p94
0.37984,0.70975,0,p238
0.38251,6.8121,0,p153
0.38478,6.5989,0,p262
0.49571,10.2243,0,p205
0.51947,-3.2633,0,p181
0.5195,-3.2633,0,p226
0.52855,0.96427,0,p32
0.56953,7.6294,0,p129
0.5706,-0.024841,0,p178
0.5706,-0.0248,0,p8
0.5706,-0.0248,0,p201
0.6549699999999999,5.1815,0,p106
0.66191,9.6594,0,p252
0.7225199999999999,-0.053811000000000005,0,p48
0.74054,0.36625,0,p204
0.74841,7.2756,0,p233
0.75736,3.0294,0,p255
0.76163,5.8209,0,p196
0.77765,5.9781,0,p158
0.77805,6.6424,0,p189
0.8135600000000001,9.1566,0,p31
0.85574,0.0082678,0,p258
0.8829799999999999,0.66009,0,p259
0.88444,6.5906,0,p9
0.92703,9.4318,0,p248
0.93611,8.6413,0,p99
0.94225,5.8561,0,p151
0.95626,2.4728,0,p102
1.0182,9.109,0,p241
1.04,-6.9321,0,p168
1.0652,8.3682,0,p115
1.105,7.4432,0,p108
1.1558,6.4003,0,p110
1.1588,8.9331,0,p89
1.162,10.2926,0,p156
1.1676,9.1566,0,p84
1.2262,0.89599,0,p176
1.2746,8.8172,0,p35
1.2999,2.5762,0,p11
1.3114,4.5462,0,p213
1.3754,8.8793,0,p184
1.4276,8.3847,0,p97
1.4507,8.7903,0,p56
1.5268,-5.5871,0,p101
1.5456,8.5482,0,p96
1.5478,9.1814,0,p203
1.5673,7.9274,0,p66
1.5701,7.9129,0,p75
1.645,7.8612,0,p206
1.7257,-4.4697,0,p221
1.7619999999999998,4.3682,0,p27
1.7748,-0.76978,0,p229
1.8216,-6.4748,0,p249
1.8238,-6.7748,0,p79
1.8373,6.1292,0,p175
1.8384,6.063,0,p136
1.8533,6.1458,0,p58
1.8592,3.2074,0,p128
1.8967,-2.5163,0,p145
1.8994,0.97462,0,p141
1.9321,6.0423,0,p0
1.9476,-4.7738,0,p45
2.0051,-6.8638,0,p12
2.0153,0.4366100000000001,0,p137
2.0153,1.8479,0,p24
2.0165,-0.25246,0,p69
2.0193,0.8235600000000001,0,p74
2.093,8.3061,0,p16
2.1319,-2.0403,0,p33
2.1526,-6.1665,0,p146
2.1752,-0.8091,0,p88
2.1881,2.7356,0,p169
2.2091,7.4556,0,p36
2.2429,-4.1427,0,p191
2.2504,3.5757,0,p271
2.2517,-5.1422,0,p81
2.2546,8.0992,0,p261
2.2893,3.733,0,p65
2.3164,-2.628,0,p182
2.3678,-6.839,0,p93
2.3969,0.23589,0,p264
2.4012,1.6223,0,p220
2.4673,1.3926,0,p188
2.5089,6.841,0,p124
2.5227,2.2369,0,p42
2.5328,7.528,0,p37
2.5559,3.3605,0,p224
2.5581,2.6218,0,p111
2.565,8.633,0,p15
2.5698,-4.4076,0,p4
2.5989,3.5178,0,p140
2.6104,8.0081,0,p85
2.6213,5.7919,0,p198
2.6415,7.586,0,p76
2.6463,-4.8152,0,p64
2.6562,10.7044,0,p165
2.6606,3.1681,0,p267
2.6648,10.754,0,p22
2.7213,7.05,0,p148
2.7659,0.6621600000000001,0,p46
2.7831,10.9796,0,p112
2.7961,2.121,0,p244
2.8084,11.3045,0,p3
2.8232,10.8513,0,p52
2.8297,6.3485,0,p14
2.8521,9.171,0,p83
2.8672,10.0008,0,p240
2.9233,6.0464,0,p155
2.9571,-4.5938,0,p161
2.9736,8.7944,0,p172
2.9856,7.2673,0,p227
3.0242,-3.3378,0,p199
3.0333,-2.5928,0,p154
3.0632,-3.3315,0,p1
3.0672,-4.4117,0,p63
3.1541,-5.1711,0,p263
3.1836,7.2321,0,p105
3.1896,5.7526,0,p30
3.2403,-3.7082,0,p208
3.2414,0.40971,0,p270
3.2692,3.4184,0,p219
3.3004,7.0811,0,p147
3.3577,-4.3062,0,p163
3.3583,10.3567,0,p41
3.3756,-4.0951,0,p6
3.3951,1.1484,0,p131
3.4092,5.4049,0,p119
3.4465,2.9508,0,p190
3.4626,-4.449,0,p130
3.4647,-3.9172,0,p57
3.4669,6.87,0,p29
3.482,-4.1634,0,p180
3.4916,8.5709,0,p225
3.5127,2.9073,0,p164
3.5251,0.7201,0,p138
3.5288,0.71596,0,p59
3.534,9.3614,0,p61
3.5358,6.7086,0,p245
3.577,2.4004,0,p20
3.5829,1.4423,0,p216
3.5862,-3.0957,0,p251
3.6077,6.8576,0,p207
3.6181,-3.7454,0,p235
3.6244,1.4609,0,p38
3.6667,4.302,0,p51
3.6894,9.887,0,p62
3.6941,-3.9482,0,p142
3.7022,6.9942,0,p214
3.7321,-3.884,0,p192
3.7522,-3.6978,0,p212
3.757,-5.4236,0,p139
3.7635,2.7811,0,p113
3.7758,7.1783,0,p133
3.7791,2.5762,0,p157
3.7798,-3.3109,0,p173
3.8197,8.9951,0,p121
3.8244,-3.1081,0,p243
3.8644,3.7061,0,p10
3.8846,-3.0336,0,p149
3.8962,-4.7904,0,p87
3.9166,10.2491,0,p209
3.9262,6.0299,0,p210
3.9292,-2.9156,0,p109
3.931,1.8541,0,p268
3.9382,0.9291,0,p80
3.9433,2.5017,0,p21
3.946,6.8514,0,p126
3.9719,1.0367,0,p60
3.9771,11.1513,0,p202
3.9772,0.33521,0,p50
4.0127,10.1477,0,p266
4.0405,0.5152399999999999,0,p67
4.0422,-4.391,0,p260
4.0446,11.1741,0,p70
4.0552,0.40143,0,p92
4.0715,7.6398,0,p195
4.0932,5.4132,0,p228
4.0948,-2.9674,0,p135
4.0962,10.1891,0,p223
4.1038,-4.8069,0,p55
4.1195,10.9258,0,p73
4.1542,7.2756,0,p247
4.1665,-0.4449,0,p150
4.2406,-2.4852,0,p28
4.2458,1.1981,0,p54
4.2475,1.4816,0,p49
4.2756,-2.6528,0,p170
4.3365,-3.584,0,p193
4.3398,-5.3036,0,p95
4.3435,3.3295,0,p78
4.3634,0.46351,0,p179
4.364,-3.1039,0,p215
4.3846,-4.8794,0,p68
4.4295,-2.3507,0,p143
4.6014,5.6264,0,p17
4.6352,-3.0087,0,p100
4.6439,-3.3729,0,p162
4.6499,7.6336,0,p256
4.65,-4.8297,0,p217
4.6562,7.6398,0,p134
4.7072,8.2957,0,p90
4.7114,2.0755,0,p265
4.7926,1.7071,0,p253
4.7965,6.9859,0,p222
4.8278,7.7598,0,p44
4.8451,8.1116,0,p232
4.9249,0.68906,0,p123
4.9294,0.27727,0,p13
4.9852,8.3516,0,p254
5.0214,8.0764,0,p77
5.0429,-0.52974,0,p132
5.0617,-0.35799000000000003,0,p18
5.086,3.2798,0,p118
5.1213,8.5565,0,p234
5.1321,-0.031048000000000006,0,p152
5.1731,3.9606,0,p218
5.2012,0.32694,0,p230
5.2032,3.5116,0,p104
5.3586,3.7557,0,p174
5.504,10.3671,0,p82
5.591,10.4643,0,p211
5.6084,10.3009,0,p107
5.7227,5.8312,0,p40
5.7456,10.1808,0,p117
5.8519,5.3905,0,p200
5.8782,5.9409,0,p25
5.9374,6.1664,0,p23
6.8248,5.2187,0,p144
-6.5084,8.7696,1,p377
-6.2815,6.6651,1,p347
-6.2003,8.6806,1,p316
-6.1632,8.7096,1,p463
-6.1536,7.9295,1,p438
-5.9034,6.5679,1,p286
-5.872999999999998,9.1752,1,p369
-5.4901,9.1048,1,p308
-5.4808,8.1819,1,p430
-5.3857,9.1214,1,p455
-5.2406,6.6258,1,p408
-5.1216,-5.3118,1,p387
-4.8861,7.0542,1,p362
-4.8554,-5.9037,1,p326
-4.5046,-5.8126,1,p473
-4.4996,3.4288,1,p378
-4.4861,-13.2889,1,p391
-4.4779,7.3708,1,p301
-4.3876,-7.7267,1,p392
-4.3773,-5.5167,1,p448
-4.2932,3.3419,1,p317
-4.2249,6.2699,1,p423
-4.211,-12.4736,1,p336
-4.1409,3.4619,1,p376
-4.0786,2.9239,1,p464
-4.0173,-8.3123,1,p331
-4.0025,-13.4979,1,p330
-3.9172,2.6652,1,p439
-3.8858,-12.8461,1,p351
-3.8826,4.898,1,p355
-3.8483,-12.8047,1,p275
-3.8073,-8.0971,1,p337
-3.7503,-13.4586,1,p477
-3.6227,3.9958,1,p437
-3.6085,3.3253,1,p315
-3.5916,-6.2285,1,p386
-3.5801,-12.9309,1,p290
-3.5681,-8.213,1,p276
-3.5637,-8.3827,1,p478
-3.4605,2.6901,1,p370
-3.4083,4.8587,1,p294
-3.3924,3.3564,1,p462
-3.3604,-0.32696,1,p393
-3.3125,0.10139,1,p379
-3.2854,4.0372,1,p388
-3.2692,-12.7406,1,p397
-3.2238,2.7935,1,p309
-3.1366,0.42212,1,p363
-3.1128,-6.841,1,p325
-3.0731,-0.53181,1,p332
-3.0265,-0.062088,1,p318
-2.9786,2.3445,1,p456
-2.9146,4.0537,1,p416
-2.9098,-10.0712,1,p358
-2.902,-7.6563,1,p447
-2.8957,-12.0205,1,p412
-2.8833,1.7713,1,p431
-2.8391,-6.63,1,p472
-2.8267,-9.0407,1,p343
-2.799,1.9679,1,p384
-2.7338,0.45523,1,p302
-2.6685,-10.4519,1,p297
-2.5912,-0.10554,1,p338
-2.5899,-0.3911,1,p465
-2.588,3.8654,1,p327
-2.5754,-5.6574,1,p364
-2.5701,-6.8452,1,p398
-2.5419,-0.65804,1,p479
-2.5346,-0.7739199999999999,1,p424
-2.4824,-7.3046,1,p357
-2.4115,-9.1359,1,p282
-2.41,3.7433,1,p474
-2.3797,-1.4402,1,p371
-2.3518,-4.8359,1,p390
-2.3211,3.1660000000000004,1,p348
-2.286,-5.4484,1,p303
-2.2804,-0.30626,1,p277
-2.258,-9.3263,1,p350
-2.2482,3.0915,1,p339
-2.234,-7.0314,1,p335
-2.2214,-0.23798,1,p440
-2.2173,1.4671,1,p383
-2.1668,1.5933,1,p470
-2.1405,-0.16762,1,p356
-2.1333,1.5685,1,p323
-2.0962,-7.1059,1,p296
-2.0659,1.0512,1,p322
-2.0631,-1.5147,1,p310
-2.0529,3.8385,1,p449
-1.979,3.2301,1,p333
-1.9423,0.3766,1,p380
-1.8969,-6.7893,1,p352
-1.8782,-6.5865,1,p365
-1.8629,-0.84841,1,p385
-1.8448,1.254,1,p445
-1.8391,-9.0883,1,p404
-1.8219,-6.8824,1,p291
-1.8215,2.7521,1,p287
-1.8187,-9.0366,1,p289
-1.786,-8.1157,1,p418
-1.7582,2.7397,1,p278
-1.749,-6.332000000000002,1,p425
-1.7479,-5.823,1,p450
-1.7322,-9.2828,1,p419
-1.7263,-6.0237,1,p344
-1.7015,-0.010356,1,p319
-1.6677,-7.1535,1,p274
-1.6662,-0.30005,1,p295
-1.6637,3.2881,1,p400
-1.6514,-8.4985,1,p396
-1.6244,-6.3444,1,p304
-1.6176,1.0926,1,p444
-1.5851,-2.1562,1,p457
-1.5732,1.0636,1,p469
-1.5449,-10.1498,1,p411
-1.5322,-5.0966,1,p329
-1.5252,-6.2534,1,p283
-1.5219999999999998,-6.6383,1,p342
-1.4446,2.1438,1,p409
-1.4427,3.2922,1,p340
-1.4174,-2.2535,1,p432
-1.3971,3.3191,1,p272
-1.3907,-1.3781,1,p417
-1.3887,-4.8773,1,p476
-1.3414,-2.0776,1,p349
-1.3066,0.25244,1,p399
-1.2786,-2.4087,1,p446
-1.2568,-1.4733,1,p324
-1.2424,-1.7175,1,p372
-1.1667,-1.4237,1,p471
-1.0116,-0.19038,1,p466
-1.0112,2.9984,1,p394
-0.9854,-6.6610000000000005,1,p281
-0.95923,-6.7128,1,p451
-0.95403,1.9824,1,p382
-0.94255,0.039307,1,p345
-0.91318,-2.0113,1,p311
-0.89569,3.0025,1,p346
-0.8940899999999999,3.1991,1,p279
-0.86339,1.9348,1,p321
-0.81479,-5.7381,1,p413
-0.77995,3.2322,1,p375
-0.77461,-1.8768,1,p288
-0.77288,-7.4473,1,p403
-0.75793,2.5349,1,p381
-0.65767,-2.8018,1,p410
-0.64326,2.4748,1,p320
-0.63298,-5.1277,1,p405
-0.61442,-0.091058,1,p284
-0.60975,-4.002,1,p359
-0.56877,1.4174,1,p389
-0.55008,2.8659,1,p401
-0.539,-5.167000000000002,1,p426
-0.52645,-0.24832,1,p353
-0.49241,0.89392,1,p441
-0.47465,-4.3496,1,p298
-0.4294,-0.14693,1,p334
-0.39416,-0.020702,1,p341
-0.36506,2.8928,1,p285
-0.3481,-0.38696,1,p292
-0.28696,3.1784,1,p407
-0.28015,3.0729,1,p314
-0.24745,1.9368,1,p468
-0.23356,3.2405,1,p436
-0.21888,-2.2038,1,p458
-0.10234,1.8189,1,p443
0.0040545,0.62905,1,p406
0.0096613,3.5612,1,p354
0.030219,-1.0512,1,p395
0.066129,2.4914,1,p467
0.11592,3.2219,1,p461
0.20216,1.9182,1,p373
0.21431,-0.69529,1,p402
0.24261,0.57318,1,p366
0.24394,1.4733,1,p328
0.25943,5.0097,1,p368
0.26517,2.4066,1,p442
0.3434,0.12415,1,p280
0.39012,-0.14279,1,p273
0.40614,1.3492,1,p475
0.4283,-0.94981,1,p433
0.4736800000000001,3.3605,1,p293
0.50225,0.65388,1,p414
0.50813,0.47799,1,p305
0.55298,-3.4619,1,p420
0.59823,3.5012,1,p374
0.6005,1.9327,1,p312
0.60731,3.9544,1,p361
0.74521,3.6357,1,p415
0.81583,4.84,1,p307
0.83625,1.1071,1,p360
0.89512,4.7738,1,p429
0.91315,3.3377,1,p313
1.0552,1.1857,1,p299
1.1644,3.8095,1,p300
1.2279,4.0309,1,p422
1.2572,4.8731,1,p454
1.296,4.2855,1,p367
1.3183,1.9017,1,p459
1.3451,0.23589,1,p452
1.4896,3.4288,1,p460
1.5631,0.89599,1,p427
1.5904,2.2121,1,p434
1.6408,4.2503,1,p306
1.7425,3.6833,1,p435
2.031,1.852,1,p421
2.2279,4.0951,1,p453
2.3917,4.5565,1,p428
